rhythmic,apathetic,poetic,eclectic,urban,anthemic,humorous,heavy,minimalistic,futuristic,melodic/bittersweet/sentimental/romantic,spiritual/atmospheric/surreal/dense/mysterious,progressive/dense/epic,energetic/raw/rebellious/noisy/angry-warm/calm/natural/acoustic/pastoral,cold/dark/sad/atmospheric/anxious/mysterious/serious-quirky/happy
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,-0.5384615384615384,-0.48148148148148145
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.7037037037037037,0.4285714285714285,0.7333333333333334,-0.4444444444444444
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6190476190476191,0.0,0.0,-0.08717948717948726,0.03703703703703698
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.40740740740740744,0.4285714285714285,0.39999999999999997,0.11111111111111105
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.48148148148148145,0.5238095238095237,0.0,-0.5555555555555555
0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8095238095238094,0.40740740740740744,0.4285714285714285,0.09743589743589742,-0.037037037037037035
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6190476190476191,0.40740740740740744,0.0,-0.3846153846153846,-0.4444444444444444
1.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.5238095238095237,0.0,0.0,-0.13846153846153847,0.03703703703703698
1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.5238095238095237,0.40740740740740744,0.4285714285714285,-0.4358974358974359,0.14814814814814803
1.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.6190476190476191,0.7037037037037037,0.4285714285714285,-0.035897435897435936,-0.5185185185185185
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238094,0.0,0.0,0.09743589743589742,-0.37037037037037035
1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.8095238095238094,0.0,0.0,0.39999999999999997,-0.40740740740740744
0.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,1.0,0.7142857142857142,0.7037037037037037,0.0,0.5333333333333333,0.11111111111111105
1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.40740740740740744,0.5238095238095237,-0.641025641025641,-0.40740740740740744
1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.40740740740740744,0.0,-0.035897435897435936,0.6666666666666666
1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.4285714285714285,0.48148148148148145,0.5238095238095237,-1.0,0.4444444444444444
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5555555555555555,0.0,0.4285714285714285,0.0,0.0,-0.5384615384615384,-0.40740740740740744
0.0,0.5555555555555555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.48148148148148145,0.0,0.3487179487179488,-0.37037037037037035
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4285714285714285,0.6296296296296295,0.4285714285714285,-0.7948717948717948,-0.6666666666666666
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.0,-0.846153846153846,-0.11111111111111105
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.48148148148148145,0.6190476190476191,0.5333333333333333,0.07407407407407407
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.5555555555555555,0.4285714285714285,0.4666666666666666,-0.6296296296296295
1.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.4871794871794872,0.4444444444444444
1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.48148148148148145,0.7142857142857142,-0.4871794871794872,0.6666666666666666
1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.48148148148148145,0.4285714285714285,-0.3846153846153846,0.5555555555555555
1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.40740740740740744,0.0,-0.4871794871794872,0.6666666666666666
1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.6296296296296295,0.5238095238095237,-0.4358974358974359,0.5555555555555555
1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.4285714285714285,0.48148148148148145,0.0,-0.3846153846153846,0.5555555555555555
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238094,0.0,0.0,0.4666666666666666,0.07407407407407407
0.0,0.0,0.0,1.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.5238095238095237,0.5555555555555555,0.5238095238095237,-0.4871794871794872,0.6666666666666666
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.48148148148148145,0.0,0.2153846153846154,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6190476190476191,0.0,0.0,-0.035897435897435936,0.18518518518518512
1.0,0.7777777777777777,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.4285714285714285,-0.05641025641025632,0.14814814814814803
0.0,0.5555555555555555,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.40740740740740744,0.0,0.030769230769230715,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.4285714285714285,0.5555555555555555,0.5238095238095237,-0.17435897435897435,0.6666666666666666
0.0,0.5555555555555555,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.48148148148148145,0.0,0.5333333333333333,0.14814814814814803
1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6296296296296295,0.4285714285714285,-0.241025641025641,0.40740740740740733
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.5555555555555555,0.0,0.8,-0.48148148148148145
0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.48148148148148145,0.0,0.4666666666666666,-0.6296296296296295
